type,millis,sensor_x,sensor_y,sensor_z
10,1659066766352,-0.2713,-0.1638,-0.494
10,1659066768152,0.2235,0.053,0.065299995
10,1659066768342,-0.19389999,0.035299998,-0.6211
10,1659066768494,-0.31489998,-0.1432,-0.9435
10,1659066768692,-0.2549,-0.016099999,-1.2789999
10,1659066768892,-0.1256,-0.0311,-0.2223
10,1659066769132,-0.0148,0.013499999,-1.0432
10,1659066769340,0.0295,-0.059699997,-0.2932
10,1659066770953,-0.0175,-0.062699996,-0.5561
4,1659069651610,-0.022270402,0.053529248,-0.028710665
4,1659069652630,-0.0461116,0.18989182,-0.1340762
4,1659069656450,-0.07730063,0.096603975,-0.022567106
4,1659069708053,0.0026703537,0.008447394,-3.8397242E-4
4,1659069708391,0.004415683,1.3962634E-4,-1.7453292E-5
4,1659069708818,0.0029146997,0.001972222,-4.886922E-4
10,1659069786064,0.0023,0.0148,-0.0289
10,1659069786189,1.0794,-0.2313,-0.9711
10,1659069786189,1.0794,-0.2313,-0.9711
10,1659069786203,0.4188,-0.3455,-0.0602
10,1659069786237,-0.8696,-0.1003,0.101399995
4,1659069786247,0.0069115036,0.014940019,3.1415926E-4
10,1659069786189,1.0794,-0.2313,-0.9711
10,1659069786217,-0.8685,-0.58709997,0.2724
10,1659069786189,1.0794,-0.2313,-0.9711
10,1659069786188,-0.5273,-1.5458,-1.2931
4,1659069786270,-0.15152949,-0.35123006,-0.31677726
10,1659069786273,-1.5699999,-0.6803,0.94159997
10,1659069786189,1.0794,-0.2313,-0.9711
4,1659069786290,-0.019495327,-0.24900612,-0.29016098
4,1659069786250,-0.51670474,0.20769417,-0.49138
10,1659069786252,-1.726,-0.1918,0.5956
10,1659069786292,-0.8678,0.3089,1.4783
10,1659069786312,10,1659069786312,-0.5363,0.0648,2.5054998
4,1659069786330,0.9785538,-1.0939026,-0.28164378
4,1659069786370,0.8815658,-1.2591852,-0.5667433
4,1659069786351,0.9431236,-1.1339229,-0.49738392
10,1659069786361,0.253,0.6293,0.3362
10,1659069786336,0.4583,0.9833,1.5489
10,1659069786372,-0.0657,0.1917,0.7459
10,1659069786394,0.0423,-0.4157,0.1655
4,1659069786390,0.8366934,-1.223755,-0.63090163
10,1659069786413,0.0245,-0.82449996,-0.5189
10,1659069786413,0.0245,-0.82449996,-0.5189
10,1659069786432,-0.032199997,-1.1816,-0.0698
10,1659069786432,-0.032199997,-1.1816,-0.0698
4,1659069786470,0.7687128,-0.86044735,-0.06609562
10,1659069786452,-0.1321,-1.6247,1.1834999
4,1659069786450,0.7020412,-1.2298113,-0.512132
10,1659069786476,-1.6114,-2.481,0.7564
10,1659069786494,-1.8197999,-1.1008999,-0.7851
10,1659069786512,-0.73289996,-0.4594,-1.321
10,1659069786494,-1.8197999,-1.1008999,-0.7851
4,1659069786510,0.32789502,-0.31984904,0.18694222
